Straßenschlüssel;Straßenname;Stadtteilnummer;Stadtteilname;Postleitzahl;Stimmbezirk;Bundestagswahlkreis;Landtagswahlkreis;Kommunalwahlbezirk;ungerade Hausnummer von;ungerade Hausnummer bis;gerade Hausnummer von;gerade Hausnummer bis
4003;Ackerwinde;306;Junkersdorf;50858;30602;94;14;20;1;31a;2;28
3459;Adalbert-Stifter-Str.;904;Holweide;51067;90407;101;19;40;3;13;2;20
4005;Adalbert-Stifter-Weg;208;Rodenkirchen;50996;20806;94;13;14;1;5;2;4
10;Adalbertstr.;804;Höhenberg;51103;80406;93;18;44;1;17;2;26
5826;Adam-Linden-Str.;705;Eil;51145;70504;93;17;8;1;41;2;16
6106;Adam-Riese-Str.;207;Hahnwald;50996;20701;94;13;15;1;1;;
11;Adamsstr.;901;Mülheim;51063;90114;101;19;36;1;83;12;80
12;Adam-Stegerwald-Str.;901;Mülheim;51063;90101;101;19;35;1;31;16;36
4004;Adamstr.;208;Rodenkirchen;50996;20804;94;13;12;5;27;2;28
13;Adam-Wrede-Str.;501;Nippes;50733;50123;95;15;33;;;2;12
4006;Adelmutstr.;714;Zündorf;51143;71405;93;17;11;1;13;2;14
4007;Adlerstr.;206;Rondorf;50997;20607;94;13;15;1;29;4;12
4007;Adlerstr.;206;Rondorf;50997;20608;94;13;15;;;14;144
14;Adlerweg;404;Vogelsang;50829;40404;95;15;25;1;19;2;30
15;Adolf-Fischer-Str.;103;Altstadt/Nord;50670;10311;93;18;5;3;3;2;10
3870;Adolf-Grimme-Allee;406;Ossendorf;50829;40603;95;15;24;1;3;2;8
6011;Adolf-Kalsbach-Str.;713;Libur;51147;71301;93;17;10;;;2;54a
16;Adolf-Kober-Str.;908;Stammheim;51061;90801;101;19;37;1;21;2;62
4010;Adolf-Menzel-Str.;208;Rodenkirchen;50999;20812;94;13;14;3;21;;
4010;Adolf-Menzel-Str.;208;Rodenkirchen;50999;20813;94;13;14;;;6;20
4009;Adolph-Kolping-Str.;711;Wahn;51147;71101;93;17;10;1;35;2;32
4009;Adolph-Kolping-Str.;711;Wahn;51147;71102;93;17;10;37;51;40;76
17;Adolphstr.;105;Deutz;50679;10503;93;18;6;1;35;2;46
4111;Adrian-Kiels-Str.;702;Westhoven;51149;70203;93;17;7;1;7;4;8
5440;Adrian-Meller-Str.;309;Widdersdorf;50859;30903;94;14;21;3;11;2;10
18;Aduchtstr.;104;Neustadt/Nord;50668;10425;93;18;5;1;11;2;12
19;Aegidienberger Str.;302;Sülz;50939;30201;94;14;16;1;27;2;32
3767;Aeltgen-Dünwald-Str.;907;Dünnwald;51069;90702;101;19;38;1;89;2;40
22;Aggerstr.;801;Humboldt/Gremberg;51105;80106;93;18;43;5;23;2;28
4011;Aggerstr. (Lövenich);308;Lövenich;50859;30805;94;14;21;1;35;;
4011;Aggerstr. (Lövenich);308;Lövenich;50859;30806;94;14;21;;;2;30
4012;Aggerweg;703;Ensen;51149;70302;93;17;7;1;17;;
4012;Aggerweg;703;Ensen;51149;70303;93;17;7;;;2;16
20;Ägidiusstr.;302;Sülz;50937;30223;94;14;17;1;57;2;64
20;Ägidiusstr.;302;Sülz;50937;30224;94;14;17;63;73;66;74
23;Agilolfstr.;102;Neustadt/Süd;50678;10205;94;13;2;1;5;2;6
6147;Agnes-Karll-Str.;303;Lindenthal;50935;30318;94;14;18;;;;
24;Agrippastr.;101;Altstadt/Süd;50676;10120;94;13;6;1;17;6;18
24;Agrippastr.;101;Altstadt/Süd;50676;10119;94;13;1;37;93;98;98
25;Agrippinaufer;102;Neustadt/Süd;50678;10202;94;13;2;;;2;10
26;Agrippinawerft;102;Neustadt/Süd;50678;10202;94;13;2;;;4;30
4013;Ahornstr.;607;Esch/Auweiler;50765;60701;95;16;28;1;55;2;30
27;Ahornweg;403;Bickendorf;50827;40310;95;15;24;1;29;4;10
4014;Ahornweg (Grengel);709;Grengel;51147;70902;93;17;9;1;63;2;74
4017;Ahornweg (Sürth);210;Sürth;50999;21007;94;13;14;7;15;2;20
4015;Ahornweg (Widdersdorf);309;Widdersdorf;50859;30905;94;14;21;1;13;4;14
3591;Ährenweg;305;Müngersdorf;50933;30507;94;14;20;1;27;2;24
4019;Ahrstr. (Lövenich);308;Lövenich;50859;30806;94;14;21;1;21;;
4019;Ahrstr. (Lövenich);308;Lövenich;50859;30805;94;14;21;23;37;2;56a
4020;Ahrstr. (Rodenkirchen);208;Rodenkirchen;50996;20810;94;13;14;1;13;;
28;Ahrweg;906;Höhenhaus;51061;90602;101;19;38;1;19;2;12
29;Ahrweilerstr.;202;Marienburg;50968;20204;94;13;12;1;3;2;12
4022;Akazienstr.;607;Esch/Auweiler;50765;60701;95;16;28;1;73;2a;60
30;Akazienweg;403;Bickendorf;50827;40305;95;15;24;1;91;2;30
30;Akazienweg;403;Bickendorf;50827;40303;95;15;24;;;56a;56b
30;Akazienweg;403;Bickendorf;50827;40304;95;15;24;;;58;82
30;Akazienweg;403;Bickendorf;50827;40303;95;15;24;93;157;32;54b
30;Akazienweg;403;Bickendorf;50827;40304;95;15;24;159;161;56;56
30;Akazienweg;404;Vogelsang;50829;40404;95;15;25;165;201;;
4023;Akazienweg (Grengel);709;Grengel;51147;70902;93;17;9;1;15a;2;30
4023;Akazienweg (Grengel);709;Grengel;51147;70903;93;17;9;17;31;38;56
4023;Akazienweg (Grengel);709;Grengel;51147;70901;93;17;9;33;71;58;82
4025;Akazienweg (Sürth);210;Sürth;50999;21007;94;13;14;1;23;2;22
4024;Akazienweg (Widdersdorf);309;Widdersdorf;50859;30905;94;14;21;5;5;2;20
31;Akeleiweg;603;Seeberg;50769;60302;95;16;26;1;3;2;2
4027;Akeleiweg (Junkersdorf);306;Junkersdorf;50858;30604;94;14;20;3;21;2;22
5819;Aladinstr.;206;Rondorf;50997;20607;94;13;15;;;2;18
32;Alarichstr.;105;Deutz;50679;10505;93;18;6;1;89;4;56
33;Alban-Berg-Weg;405;Bocklemünd/Mengenich;50829;40504;95;15;25;1;19;;
34;Alberichhof;502;Mauenheim;50739;50201;95;16;31;1;5;2;6
4028;Alberichshof;710;Wahnheide;51147;71007;93;17;10;1;5;2;6
35;Albermannstr.;802;Kalk;51103;80202;93;18;42;1;21;2;48
35;Albermannstr.;802;Kalk;51103;80203;93;18;42;39;45;50;60
4030;Albert-Kindle-Str.;307;Weiden;50859;30707;94;14;21;1;25;2;36
36;Albert-Schweitzer-Str.;204;Raderthal;50968;20403;94;13;12;1;5;2;2
4031;Albert-Schweitzer-Str. (Wahn);711;Wahn;51147;71103;93;17;10;1;1;8;8
4032;Albert-Tobias-Weg;714;Zündorf;51143;71403;93;17;11;1;13;2;16
37;Albertus-Magnus-Platz;303;Lindenthal;50931;30304;94;14;18;;;0;
38;Albertusstr.;103;Altstadt/Nord;50667;10303;93;18;4;1;55;4;52
4033;Albertusweg;209;Weiß;50999;20905;94;13;14;1;19;4;20
6075;Albin-Hänseroth-Weg;309;Widdersdorf;50859;30901;94;14;21;1;83;2;96
5926;Albin-Köbis-Str.;711;Wahn;51147;71102;93;17;10;1;17;2;18
39;Albrecht-Dürer-Platz;104;Neustadt/Nord;50672;10405;93;18;4;15;15;;
4034;Albrecht-Dürer-Str.;208;Rodenkirchen;50999;20813;94;13;14;3;9;4;10
40;Albusweg;907;Dünnwald;51069;90706;101;19;38;1;23;;
41;Alemannenstr.;105;Deutz;50679;10508;93;18;6;1;23;2;26
4035;Alemannenstr. (Gremberghoven);704;Gremberghoven;51149;70401;93;17;8;7;9;10;12
4036;Alemannenstr. (Rodenkirchen);208;Rodenkirchen;50996;20803;94;13;12;1;7;2;10
42;Alexander-Petöfi-Platz;506;Longerich;50739;50613;95;16;30;;;2;16
43;Alexander-von-Wacker-Platz;601;Merkenich;50769;60105;95;16;29;1;5;2;14
3790;Alexe-Altenkirch-Str.;507;Bilderstöckchen;50739;50701;95;15;31;3;21;2;10
44;Alexianerstr.;101;Altstadt/Süd;50676;10118;94;13;1;1;5;;
44;Alexianerstr.;101;Altstadt/Süd;50676;10119;94;13;1;;;2;20
44;Alexianerstr.;101;Altstadt/Süd;50676;10116;94;13;3;23;43;;
44;Alexianerstr.;101;Altstadt/Süd;50676;10117;94;13;3;;;30;48
5811;Alfons-Kafka-Str.;714;Zündorf;51143;71401;93;17;11;3;13;2;30
4038;Alfons-Nowak-Str.;306;Junkersdorf;50858;30605;94;14;20;1;5;6;6
4039;Alfred-Delp-Str.;703;Ensen;51149;70302;93;17;7;1;23;2;14
45;Alfred-Döblin-Str.;405;Bocklemünd/Mengenich;50829;40507;95;15;25;1;11;;
6038;Alfred-Moritz-Platz;706;Porz;51143;70605;93;17;11;;;;
4040;Alfred-Nobel-Str.;706;Porz;51145;70602;93;17;8;1;49;2;34
4040;Alfred-Nobel-Str.;706;Porz;51145;70603;93;17;8;53;57;;
46;Alfred-Schütte-Allee;105;Deutz;50679;10512;93;18;6;1;1;2;24
46;Alfred-Schütte-Allee;701;Poll;51105;70106;93;17;7;;;28;180
46;Alfred-Schütte-Allee;701;Poll;51105;70105;93;17;7;51;165;;
47;Alfred-Werner-Str.;909;Flittard;51061;90904;101;19;37;1;23;2;4
48;Alfterstr.;205;Zollstock;50969;20516;94;13;13;1;23;2;22
6145;Ali-Kurt-Weg;903;Stammheim;51063;90801;101;19;37;;;;
49;Allensteiner Str.;504;Niehl;50735;50411;95;16;34;5;5;8;8
4042;Allensteiner Str. (Rondorf);206;Rondorf;50997;20602;94;13;15;9;13;2;12
50;Allerheiligenstr.;103;Altstadt/Nord;50668;10307;93;18;4;15;27;2;18
51;Allerseelenstr.;701;Poll;51105;70101;93;17;7;1;23;2;42a
3510;Allerstr.;609;Chorweiler;50765;60905;95;16;27;1;1;2;24
3860;Aloeweg;806;Merheim;51109;80605;93;17;44;1;105;8;100
6095;Aloys-Boecker-Str.;712;Lind;51147;71203;93;17;10;;;4;52
52;Alpenerplatz;401;Ehrenfeld;50825;40124;95;15;24;1;7;2;6
53;Alpenerstr.;401;Ehrenfeld;50825;40124;95;15;24;1;27;2;24
53;Alpenerstr.;401;Ehrenfeld;50825;40123;95;15;23;29;37;26;34
54;Alpenroder Weg;605;Lindweiler;50767;60501;95;16;28;1;27;2;36
55;Alpenrosenweg;603;Seeberg;50769;60301;95;16;26;1;7;;
55;Alpenrosenweg;603;Seeberg;50769;60302;95;16;26;;;2;14
3848;Alphons-Silbermann-Weg;303;Lindenthal;50931;30304;94;14;18;;;;
56;Alradstr.;909;Flittard;51061;90903;101;19;37;1;21;4;44
57;Alsdorfer Str.;304;Braunsfeld;50933;30401;94;14;19;1;23;2;6
58;Alsenstr.;105;Deutz;50679;10502;93;18;6;1;27;2;20
59;Alstädter Str.;205;Zollstock;50969;20515;94;13;13;1;23;2;26
60;Altbaumburgweg;507;Bilderstöckchen;50739;50702;95;15;31;11;11;2;58
61;Altdahnweg;507;Bilderstöckchen;50739;50703;95;15;31;1;13;2;12
4044;Alte Apotheke;714;Zündorf;51143;71403;93;17;11;1;15;2;18
6094;Alte Blockstelle;712;Lind;51147;71203;93;17;10;;;;
4045;Alte Brühler Str.;213;Meschenich;50997;21304;94;13;15;17;25a;8;22
4045;Alte Brühler Str.;213;Meschenich;50997;21303;94;13;15;27;187;26;62
4046;Alte Burgstr.;713;Libur;51147;71301;93;17;10;1;41a;4;38
3969;Alte Escher Str.;406;Ossendorf;50829;40603;95;15;24;;;;
4541;Alte Fischenicher Str.;213;Meschenich;50997;21304;94;13;15;1;51;2;52
4047;Alte Forststr.;808;Rath/Heumar;51107;80812;93;17;41;5;55;2;4
4048;Alte Gasse;714;Zündorf;51143;71406;93;17;11;3;3;;
4048;Alte Gasse;714;Zündorf;51143;71401;93;17;11;9;9;;
4049;Alte Heide;710;Wahnheide;51147;71007;93;17;10;1;53b;2;58
4050;Alte Kirchgasse;210;Sürth;50999;21009;94;13;14;1;23;2;46
4990;Alte Klosterstr.;306;Junkersdorf;50858;30602;94;14;20;1;25;2;26
4051;Alte Kölner Str.;709;Grengel;51147;70902;93;17;9;;;;
4053;Alte Kölnstr.;213;Meschenich;50997;21301;94;13;15;1;35;2;76
4054;Alte Magazinstr.;710;Wahnheide;51147;71003;93;17;10;1;17;16;20
65;Alte Mauer am Bach;101;Altstadt/Süd;50676;10118;94;13;1;35;35;36;64
68;Alte Neusser Landstr.;612;Worringen;50769;61206;95;16;29;137;137;240;270
68;Alte Neusser Landstr.;612;Worringen;50769;61207;95;16;29;139;211;170;234
68;Alte Neusser Landstr.;612;Worringen;50769;61206;95;16;29;213;251;;
68;Alte Neusser Landstr.;612;Worringen;50769;61205;95;16;29;253;299;272;310
4058;Alte Rheinstr.;209;Weiß;50999;20904;94;13;14;1;17;2;10
76;Alte Römerstr.;601;Merkenich;50769;60102;95;16;29;69;151;52;134
76;Alte Römerstr.;601;Merkenich;50769;60101;95;16;29;167;173;;
4059;Alte Sandkaul;309;Widdersdorf;50859;30904;94;14;21;1;31;2;20b
79;Alte Str.;612;Worringen;50769;61201;95;16;29;1;9c;2a;2a
79;Alte Str.;612;Worringen;50769;61203;95;16;29;;;100;166
79;Alte Str.;612;Worringen;50769;61205;95;16;29;201;201;;
4060;Alte Str. (Widdersdorf);309;Widdersdorf;50859;30903;94;14;21;1;47;2;36
4060;Alte Str. (Widdersdorf);309;Widdersdorf;50859;30902;94;14;21;49;57;38;40
80;Alte Wallgasse;103;Altstadt/Nord;50672;10303;93;18;4;;;2;10
80;Alte Wallgasse;103;Altstadt/Nord;50672;10301;93;18;4;5;31;;
81;Alte Wipperfürther Str.;903;Buchheim;51065;90305;101;19;35;1;55;2;70
81;Alte Wipperfürther Str.;903;Buchheim;51065;90306;101;19;35;61;69;72;82
62;Alteburger Platz;102;Neustadt/Süd;50678;10205;94;13;2;1;1;2;2
63;Alteburger Str.;101;Altstadt/Süd;50678;10112;94;13;1;1;13;2;14
63;Alteburger Str.;102;Neustadt/Süd;50678;10203;94;13;2;15;73;16;18
63;Alteburger Str.;102;Neustadt/Süd;50678;10204;94;13;2;;;20;54
63;Alteburger Str.;102;Neustadt/Süd;50678;10207;94;13;2;;;56;66
63;Alteburger Str.;102;Neustadt/Süd;50678;10208;94;13;2;79;89;;
63;Alteburger Str.;102;Neustadt/Süd;50678;10205;94;13;2;101;121;70;82
63;Alteburger Str.;102;Neustadt/Süd;50678;10206;94;13;2;127;129;;
63;Alteburger Str.;201;Bayenthal;50968;20101;94;13;12;139;179;138;174
63;Alteburger Str.;201;Bayenthal;50968;20102;94;13;12;191;303;180;212
63;Alteburger Str.;201;Bayenthal;50968;20103;94;13;12;;;218;256
63;Alteburger Str.;201;Bayenthal;50968;20105;94;13;12;;;268;306
63;Alteburger Str.;201;Bayenthal;50968;20106;94;13;12;311;379;334;338
64;Alteburger Wall;102;Neustadt/Süd;50678;10205;94;13;2;1;31;2;18
66;Altenauer Weg;906;Höhenhaus;51061;90605;101;19;38;1;5;2;4
67;Altenberger Str.;103;Altstadt/Nord;50668;10307;93;18;4;1;23;12;20
4055;Altenberger Str. (Eil);705;Eil;51145;70507;93;17;8;1;41;2;44
69;Altengrabengäßchen;103;Altstadt/Nord;50668;10313;93;18;4;1;19;;
70;Altenhofer Weg;604;Heimersdorf;50767;60402;95;16;26;1;29;2;44
71;Altenhofstr.;406;Ossendorf;50827;40601;95;15;24;1;9;4;4
73;Alter Deutzer Postweg;805;Ostheim;51107;80503;93;18;45;1;77;2;22
73;Alter Deutzer Postweg;704;Gremberghoven;51149;70401;93;17;8;95;101;100;102
73;Alter Deutzer Postweg;808;Rath/Heumar;51107;80810;93;17;41;121;221;;
3963;Alter Friedhofsweg;806;Merheim;51109;80601;93;17;44;;;;
74;Alter Markt;103;Altstadt/Nord;50667;10304;93;18;4;1;67;2;10
74;Alter Markt;103;Altstadt/Nord;50667;10305;93;18;4;75;79;18;62
3703;Alter Militärring;305;Müngersdorf;50933;30502;94;14;19;1;43;56;74
3703;Alter Militärring;305;Müngersdorf;50933;30503;94;14;19;;;6;50
3703;Alter Militärring;305;Müngersdorf;50933;30505;94;14;20;45;45;80;88
3703;Alter Militärring;305;Müngersdorf;50933;30501;94;14;19;;;94;94
3703;Alter Militärring;305;Müngersdorf;50933;30505;94;14;20;;;96;96
75;Alter Mühlenweg;105;Deutz;50679;10512;93;18;6;11;39;2;2
75;Alter Mühlenweg;105;Deutz;50679;10513;93;18;6;41;63;44;64
78;Alter Stammheimer Weg;503;Riehl;50735;50304;95;16;33;1;1;;
82;Altleiningenweg;507;Bilderstöckchen;50739;50704;95;15;31;;;2;40
83;Altonaer Platz;506;Longerich;50737;50604;95;16;30;;;2;16
84;Altonaer Str.;506;Longerich;50737;50604;95;16;30;1;41;2;6
84;Altonaer Str.;506;Longerich;50737;50603;95;16;30;43;65;22;32
85;Altstr.;901;Mülheim;51063;90116;101;19;36;5;9;2;10
86;Alvenslebenstr.;104;Neustadt/Nord;50668;10425;93;18;5;1;15;2;12
87;Alzeyer Str.;507;Bilderstöckchen;50739;50702;95;15;31;1;33;2;36
3589;Am Ackerrain;305;Müngersdorf;50933;30506;94;14;20;3;27;2;26
90;Am Alten Brauhaus;601;Merkenich;50769;60101;95;16;29;1;9;6;6
4063;Am Alten Brauhaus (Zündorf);714;Zündorf;51143;71405;93;17;11;1;15;2;18
91;Am Alten Posthof;103;Altstadt/Nord;50667;10302;93;18;4;1;5;2;8
3924;Am Alten Stellwerk;501;Nippes;50733;50106;95;15;32;1;53;2;64
92;Am Alten Turm;808;Rath/Heumar;51107;80806;93;17;41;1;13;2;4
93;Am Alten Ufer;103;Altstadt/Nord;50668;10307;93;18;4;35;57;6;12
4065;Am Alten Weiher;607;Esch/Auweiler;50765;60705;95;16;28;1;11;10;10
89;Am Altenberger Kreuz;701;Poll;51105;70104;93;17;7;1;17;2;18
4066;Am Anger;714;Zündorf;51143;71408;93;17;11;1;21;;
6021;Am Aspelkreuz;309;Widdersdorf;50859;30901;94;14;21;5;29;2;116
3927;Am Ausbesserungswerk;501;Nippes;50733;50106;95;15;32;;;2;42
3920;Am Bachhof;611;Roggendorf/Thenhoven;50769;61102;95;16;29;1;5;2;2
4067;Am Baggerfeld;607;Esch/Auweiler;50767;60707;95;16;28;1;1;10;10
4068;Am Bahnhof;711;Wahn;51147;71103;93;17;10;25;33;2;126
95;Am Balsamhof;506;Longerich;50739;50613;95;16;30;1;5;2;20
96;Am Bayenturm;101;Altstadt/Süd;50678;10109;94;13;1;;;2;2
96;Am Bayenturm;101;Altstadt/Süd;50678;10113;94;13;1;5;9;;
3725;Am Beethovenpark;302;Sülz;50935;30233;94;14;17;1;35;2;50
97;Am Bergerhof;612;Worringen;50769;61201;95;16;29;1;9;2;28
4070;Am Bergerhof (Elsdorf);708;Elsdorf;51145;70801;93;17;9;;;2;12
4071;Am Berzenacker;714;Zündorf;51143;71404;93;17;11;;;;
99;Am Bilderstöckchen;507;Bilderstöckchen;50739;50701;95;15;31;1;97;40;70
4072;Am Bitzenhäuschen;705;Eil;51145;70505;93;17;8;1;11;2;10
4073;Am Blauen Stein (Ensen);703;Ensen;51149;70301;93;17;7;;;;
4074;Am Blauen Stein (Rondorf);206;Rondorf;50997;20604;94;13;15;1;25;2;18
100;Am Blutberg;602;Fühlingen;50769;60201;95;16;29;;;;
100;Am Blutberg;610;Blumenberg;50765;61003;95;16;27;;;;
5975;Am Bödinger Hof;206;Rondorf;50997;20602;94;13;15;1;45;2;10
101;Am Bollwerk;103;Altstadt/Nord;50667;10305;93;18;4;1;15;;
101;Am Bollwerk;103;Altstadt/Nord;50667;10304;93;18;4;21;25;;
4075;Am Börschsgarten;711;Wahn;51147;71104;93;17;10;;;2;28
103;Am Botanischen Garten;503;Riehl;50735;50303;95;16;33;1;49;6;58
103;Am Botanischen Garten;503;Riehl;50735;50308;95;16;33;49a;73;62;76
104;Am Bramhoff;904;Holweide;51067;90401;101;19;40;1;15;2;14
5832;Am Braunsacker;607;Esch/Auweiler;50765;60704;95;16;28;1;123;56;136
5832;Am Braunsacker;607;Esch/Auweiler;50765;60703;95;16;28;;;2;54
105;Am Brunnenbogen;403;Bickendorf;50827;40307;95;15;24;1;15;2;16
4077;Am Büllesgarten;711;Wahn;51147;71104;93;17;10;;;2;28
106;Am Burgacker;808;Rath/Heumar;51107;80808;93;17;41;1;41;2;40
3977;Am Bürgerpark;802;Kalk;51103;80209;93;18;42;;;;
4078;Am Clarenhof;307;Weiden;50859;30709;94;14;21;1;23;2;18
3811;Am Coloneum;406;Ossendorf;50829;40603;95;15;24;1;9;2;8
5831;Am Courts Garten;714;Zündorf;51143;71409;93;17;11;1;9;2;18
4079;Am Damm;209;Weiß;50999;20901;94;13;14;5;21;2;36
6116;Am Deutzer Kastell;105;Deutz;50679;10502;93;18;6;;;;
3578;Am Deutzer Stadtgarten;105;Deutz;50679;10512;93;18;6;1;1;;
4082;Am Distelkampsgarten;711;Wahn;51147;71104;93;17;10;;;2;14
4083;Am Domenhof;211;Godorf;50997;21101;94;13;15;1;3;2;4
107;Am Domhof;103;Altstadt/Nord;50667;10304;93;18;4;1;1;;
3667;Am Donatushof;608;Volkhoven/Weiler;50765;60801;95;16;26;3;17;;
108;Am Donewald;907;Dünnwald;51069;90702;101;19;38;1;11;2;26
4084;Am Dornbusch;709;Grengel;51147;70901;93;17;9;;;2;6
4085;Am Dreieck;808;Rath/Heumar;51107;80809;93;17;41;1;3;2;4
109;Am Duffesbach;102;Neustadt/Süd;50677;10220;94;13;2;1;43;;
109;Am Duffesbach;102;Neustadt/Süd;50677;10219;94;13;2;;;2;44
6144;Am Düxer Bock;105;Deutz;50679;10510;93;18;6;;;;
110;Am Eichelberg;604;Heimersdorf;50767;60401;95;16;26;1;23;2;78
4086;Am Eichenwäldchen;207;Hahnwald;50996;20701;94;13;15;1;25;2;26
5929;Am Eifeltor;206;Rondorf;50997;20601;94;13;15;1;1;2;26
5929;Am Eifeltor;205;Zollstock;50969;20512;94;13;13;;;;
111;Am Emberg;906;Höhenhaus;51061;90604;101;19;38;1;39;2;34
4087;Am Engeldorfer Berg;213;Meschenich;50997;21302;94;13;15;7;29;2;26
4088;Am Engelshof;307;Weiden;50859;30709;94;14;21;1;15;2;18
5833;Am Entenpfuhl;607;Esch/Auweiler;50765;60704;95;16;28;1;99;2;62
4090;Am Eulengarten;211;Godorf;50997;21102;94;13;15;1;45;2;34
112;Am Faulbach;901;Mülheim;51063;90117;101;19;37;;;;
3608;Am Feldgarten;611;Roggendorf/Thenhoven;50769;61102;95;16;29;1;15;2;16
113;Am Feldrain;909;Flittard;51061;90901;101;19;37;3;15;2;24
4091;Am Feldrain (Sürth);210;Sürth;50999;21005;94;13;14;23;23;24;38
4091;Am Feldrain (Sürth);210;Sürth;50999;21001;94;13;14;;;56;82
114;Am Feldschlößchen;601;Merkenich;50769;60101;95;16;29;;;20;32
115;Am Flachsrosterweg;906;Höhenhaus;51061;90605;101;19;38;1;35;4;72
115;Am Flachsrosterweg;906;Höhenhaus;51061;90604;101;19;38;;;2;2
116;Am Fliederbusch;403;Bickendorf;50827;40307;95;15;24;1;31;2;40
117;Am Flutgraben;904;Holweide;51067;90411;101;19;40;1;17;2;64
4092;Am Frankenhain;306;Junkersdorf;50858;30605;94;14;20;1;61;2;62
118;Am Frankenturm;103;Altstadt/Nord;50667;10304;93;18;4;1;5;;
3615;Am Frohnweiher;612;Worringen;50769;61207;95;16;29;1;23;2;24
4093;Am Fuchsgraben;309;Widdersdorf;50859;30903;94;14;21;1;13;2;16
119;Am Gibbelsberg;305;Müngersdorf;50933;30505;94;14;20;1;5;4;14
120;Am Gieselbach;808;Rath/Heumar;51107;80805;93;17;41;1;31;2;28
3626;Am Gleisdreieck;402;Neuehrenfeld;50823;40203;95;15;23;1;9;2;2
121;Am Gleueler Bach;303;Lindenthal;50935;30318;94;14;18;1;25;2;26
4094;Am Godorfer Kirchweg;211;Godorf;50997;21102;94;13;15;1;27;2;30
6077;Am Golfpark;309;Widdersdorf;50859;30901;94;14;21;1;15;2;40
122;Am Gräfenhof;807;Brück;51109;80707;93;17;41;7;19;18;60
123;Am Grauen Stein;801;Humboldt/Gremberg;51105;80104;93;18;43;3;17;4;20
123;Am Grauen Stein;701;Poll;51105;70101;93;17;7;27;33;24;26
4095;Am Greinshof;210;Sürth;50999;21003;94;13;14;1;19;2;12
5904;Am Grott;712;Lind;51147;71203;93;17;10;3;17;4;4
5959;Am Haelentor;306;Junkersdorf;50858;30606;94;14;20;1;7;2;2
3902;Am Hafenamt;101;Altstadt/Süd;50678;10113;94;13;1;;;;
4096;Am Hagelkreuz;209;Weiß;50999;20902;94;13;14;5;9;2;22
4096;Am Hagelkreuz;209;Weiß;50999;20901;94;13;14;11;31;46;62
124;Am Haselbusch;403;Bickendorf;50827;40310;95;15;24;1;11;2;16
4097;Am Heckelchen;213;Meschenich;50997;21302;94;13;15;3;19;2;30
