Stimmbezirk;WahlgebÃ¤ude;Straße;Nr;NrZusatz;Eingang;PLZ;Ort;Stadtteil;Rollstuhlgerecht
90113, 90114;Außenstelle Gymnasium Genovevastraße;Holweider Str. ;2;;;51065;Köln;614492;Mülheim;j
90115, 90116;GGS Mülheimer Freiheit;Mülheimer Freiheit;99;;;51063;Köln;49 20 108-14;Mülheim;j
90117, 90118;Rhein-Gymnasium;Düsseldorfer Str.;13;;;51063;Köln;3553369-0;Mülheim;j
90119;Kath. Grundschule;Langemaß;21;;;51063;Köln;628753;Mülheim;j
90120, 90121;Mütze Das Bürgerhaus e.V.;Berliner Str.;77;;;51063;Köln;"6406935
raumvermietung@muetze-buergerhaus.de";Mülheim;j
90122, 90123;KGS Luzerner Weg;Luzerner Weg;72;;;51063;Köln;3558898-0;Mülheim;j
90201, 90202, 90203, 90204;GGS Kopernikusstr.;Kopernikusstr.;40;;;51065;Köln;35 57 006-0;Buchforst;n
90301;GGS An St. Theresia;An St. Theresia;1;;;51067;Köln;631567;Buchheim;j
90302, 90303, 90304;Hauptschule;Wuppertaler Str.;19;;;51067;Köln;965900;Buchheim;j
90305, 90306;GGS Alte Wipperfürther Str.;Alte Wipperfürther Str.;49;;"Eingang Alte
Wipperfürther Str. 9";51065;Köln;35 66 116-0;Buchheim;j
90307, 90308;Herder-Gymnasium;Kattowitzer Str.;52;;;51065;Köln;96955-0;Buchheim;j
90401, 90402, 90403, 90404;Kath. Grundschule;Neufelder Str.;2;;;51067;Köln;96500100;Holweide;n
90405, 90406;Kindertageseinrichtung;Piccoloministr.;531;;;51067;Köln;680 21 22;Holweide;j
90407, 90408, 90409, 90410;GGS Buschfeldstr.;Buschfeldstr.;46;;;51067;Köln;9388997-0;Holweide;j
90411, 90412, 90413;Gesamtschule Holweide;Burgwiesenstr.;125;;;51067;Köln;96953-0 o. 96953-153;Holweide;j
90501, 90502, 90503, 90504, 90505, 90506, 90507, 90508;KGS Urnenstraße;Urnenstr.;7;;;51069;Köln;3377067-0;Dellbrück;n
90509, 90510, 90511, 90512, 90513, 90514, 90515, 90516, 90517;GGS Dellbrücker Hauptstraße;Dellbrücker Hauptstr.;16;;;51069;Köln;93 88 063-0;Dellbrück;j
90518, 90519, 90520, 90521, 90522, 90523;Realschule Dellbrücker Mauspfad;Dellbrücker Mauspfad;200;;;51069;Köln;93 85 00-40;Dellbrück;j
90601, 90602, 90603;Rosenmaarschule ;Am Rosenmaar;3;;;51061;Köln;938806-0;Höhenhaus;j
90604, 90605;GGS von Bodelschwingh-Str.;Von-Bodelschwingh-Str.;24;;;51061;Köln;35 58 973-0;Höhenhaus;j
90606, 90607, 90608, 90609;GGS Honschaftstr.;Honschaftsstr.;312;;Trakt A;51061;Köln;820 111-0 o. -31;Höhenhaus;j
90610, 90611, 90612, 90613;Schule Thymianweg;Thymianweg;1;a;Im Weidenbruch;51061;Köln;965950;Höhenhaus;j
90701, 90702, 90703;KGS Am Portzenacker;Am Portzenacker;1;b;;51069;Köln;8233751-0;Dünnwald;j
90704, 90705;Förderschule Berliner Straße;Berliner Str.;975;;;51069;Köln;22252880;Dünnwald;j
90706, 90707, 90708, 90709;GGS Leuchterstr.;Leuchterstr.;25;;;51069;Köln;35 58 995-0;Dünnwald;j
90801, 90802, 90803, 90804;GGS Ricarda-Huch-Str.;Ricarda-Huch-Str.;60;;;51061;Köln;3377065-0;Stammheim;j
90805, 90806;KGS Diependahlstraße;Diependahlstr.;12;;;51061;Köln;661430;Stammheim;j
90901, 90902, 90903;GGS Am Feldrain;Am Feldrain ;10;;;51061;Köln;9388064-0 o. 9388064-22;Flittard;j
90904, 90905, 90906, 90907;OGS Regenbogenschule;Peter-Grieß-Str.;5-7;;;51061;Köln;35505011-0;Flittard;n
